Article ID,Document Type GROUPING
7279,Person
8660,FOI
8661,FOI
8662,FOI
8663,FOI
8665,FOI
8666,FOI
8668,FOI
8664,FOI
8667,FOI
8669,FOI
8670,FOI
831,Service
7913,Service
7909,Service
7910,Service
7912,Service
868,Service
7911,Service
7699,Service
519,Service
1516,Service
301,Service
7722,Service
1469,
7377,Person
7158,Person
7157,Person
7864,Service
7869,Service
7863,Service
7862,Service
7867,Service
7868,Service
7866,Service
8051,Person
8050,Person
8048,Person
8047,Person
8056,Person
8049,Person
1032,Event
8016,Service
8145,Direction
8146,Direction
8181,FOI
8116,FOI
8098,FOI
8121,FOI
7675,Service
283,Service
824,Service
7596,Corporate publication
7720,Corporate publication
7591,Corporate publication
7590,Corporate publication
7589,Corporate publication
7588,Corporate publication
7719,Corporate publication
7587,Corporate publication
8281,Service
7906,Service
576,Service
7904,Service
1225,Service
1127,Service
1547,Service
1548,Service
269,Service
7572,Service
1007,Service
947,Service
1322,Service
1378,Service
8053,Person
7289,Person
7290,Person
7291,Person
7268,Service
7270,Service
8885,Service
7696,Service
7292,Person
1186,Service
6851,
938,Corporate publication
1142,Corporate publication
8021,Corporate publication
1218,Corporate publication
252,
1437,Service
1342,
1254,
1034,
1414,Service
6921,Guidance
8439,News article
915,Service
1062,Service
913,Service
8073,Service
1024,Service
7257,Service
7881,Service
7880,Service
7879,Service
7878,Service
7877,Service
846,Service
1222,Service
849,Service
7727,Service
1223,Service
7356,Service
7777,Service
7304,Service
8552,News article
782,Service
7350,Service
7349,Service
7351,Service
7348,Service
7346,Service
7344,Service
7347,Service
7343,Service
7341,Service
7339,Service
8558,News article
8271,Service
1540,Service
7358,Service
1529,Service
7228,Service
8452,Service
819,Service
7354,Service
8688,Service
1152,Service
827,Service
825,Service
826,Service
823,Service
843,Service
853,Service
821,Service
7231,Service
7997,
1119,Service
751,Service
8152,Data report
8717,News article
7203,Corporate publication
7201,Corporate publication
7202,Corporate publication
7200,Corporate publication
7199,Corporate publication
7196,Corporate publication
7197,Corporate publication
7198,Corporate publication
7204,Corporate publication
7195,Corporate publication
7189,Corporate publication
7968,
7969,
7967,
1385,
1383,Service
1381,Service
1406,Service
1455,Service
1457,Service
1466,Service
7054,Service
8343,Service
7276,Service
7274,Service
7273,Service
7053,Service
7052,Service
7051,Service
7050,Service
6923,Service
6924,Service
6922,Service
8387,Service
8862,Service
929,Service
1039,Service
1047,Service
1129,Service
837,Service
7989,Corporate publication
1063,Service
7976,Service
7223,
804,
803,
8043,
919,
1197,
1527,
1447,Service
1480,
1410,
507,
542,
1320,
1478,
237,
7749,
8554,
1191,
1190,
1258,
1068,
872,
873,
1091,
855,
8724,
8725,
1143,
254,
1554,
7996,
8011,
8155,
8164,
8044,
8160,
8163,
8006,
310,
6784,FOI
6801,FOI
6802,FOI
6785,FOI
6783,FOI
6786,FOI
6781,FOI
6803,FOI
6804,FOI
6805,FOI
6800,FOI
6807,FOI
6809,FOI
6810,FOI
6811,FOI
6806,FOI
6812,FOI
6808,FOI
6813,FOI
6816,FOI
6814,FOI
6815,FOI
6818,FOI
6817,FOI
6820,FOI
6825,FOI
6821,FOI
6824,FOI
6822,FOI
6823,FOI
6826,FOI
6827,FOI
6828,FOI
6819,FOI
6829,FOI
6830,FOI
6832,FOI
6833,FOI
6834,FOI
6835,FOI
6837,FOI
6916,FOI
6840,FOI
6841,FOI
6755,FOI
6787,FOI
6836,FOI
6842,FOI
6754,FOI
6753,FOI
6749,FOI
6751,FOI
1104,
1108,
1117,
762,
1204,Board meeting minutes agenda
795,Event
794,Event
7357,Event
796,Event
793,Event
951,Event
7902,Event
7278,Person
7900,Event
303,
7935,
311,
8701,
8692,
7313,
7875,
7417,
7380,
7379,
7423,
